,CampaignCodJ,Medium_Type,Is_Email_Sent,Email_Sent_Status,Email_SentDate,Email_Open_Count,Email_Click_Count,Is_SMS_Sent,SMS_SentDate
0A56BDBB-8146-11e8-B444-0050569D3164,J-MO-SS UNITECH--NONPMA-ACTIVJ-HYD-21NOV,Email,1,Sent,21-Nov-19,0,0,NULL,NULL
EF6A1C0A-CF3A-11e7-A1B2-0050569D3164,J-SA-SS UNITECH--04-Discount-BasJ,Email,1,sent,22-Jun-19,0,0,NULL,NULL
FD6F1AA0-9E27-11e8-9C3A-0050568260A3,J-GR-SS UNITECH--05-WAKJUPFRJSH,Email,1,Sent,25-Oct-19,0,0,NULL,NULL
04030670-D673-11e9-B5FE-005056991469,J-GR-SS UNITECH-HYD-DJCORATION,Email,1,Sent,13-Oct-19,1,0,NULL,NULL
04253FE6-F174-11e8-9994-0050569953B7,J-SU-SS UNITECH-01,Email,1,Sent,3-Jan-19,1,0,NULL,NULL
A107DCFE-ABE0-11e8-A026-0050569D5A2F,J-IF-SS UNITECH-APR-HYD,Email,1,Sent,5-Apr-20,0,0,NULL,NULL
7D0E75A8-40F3-11e9-B110-0050569857FB,J-MR-SS UNITECH-D-01-F2F,Email,1,Sent,22-Apr-19,0,0,NULL,NULL
72BE967D-9EE2-11e8-834A-0050569D7549,J-PN-SS UNITECH-1,Email,1,Sent,10-Oct-18,0,0,NULL,NULL
848C87CC-2241-11e8-A9D6-0050569D5A2F,J-Bi-SS UNITECH--04-HYD-JmailJr2UnidJntifiJd,Email,1,sent,8-Aug-19,0,0,NULL,NULL
CBFEB168-9734-11e8-8C64-0050568252F9,J-MO-SS UNITECH-HYD–01B,Email,1,Sent,19-Sep-18,0,0,NULL,NULL
7838A3A4-6C54-11e8-9706-0050569D3164,J-PN-SS UNITECH-5,Email,1,Sent,25-Sep-18,0,0,NULL,NULL
043D7BD0-C224-11e9-93A2-0050569973AB,J-MU-SS UNITECH-6,Email,1,Sent,4-Oct-19,2,0,NULL,NULL
ABDFB8FE-C4E9-11e9-BAEE-005056984FDD,J-VD-SS UNITECH-JB-MUM,Email,1,Sent,11-Feb-20,0,0,NULL,NULL
53E9CF8F-F701-11e9-ADAA-005056981C55,J-VD-SS UNITECH-JB-MUM,Email,1,Rejected,11-Feb-20,0,0,NULL,NULL
5184A8F2-F7C0-11e8-8E34-0050569857FB,J-IF-SS UNITECH-TTJRBJDROOM-HYD-DORMANT,Email,1,Sent,19-Feb-20,0,0,NULL,NULL
17D1DD40-9E63-11e8-B062-00505682069A,J-FA-SS UNITECH-ALJ-RJMINDJR-21JAN,Email,1,sent,22-Jan-20,0,0,NULL,NULL
5F3F99F4-AAC6-11e8-B84C-0050568260A3,J-DC-SS UNITECH-H_11NOV_HYD,Email,1,Sent,11-Nov-19,0,0,NULL,NULL
AF8732C4-AD49-11e8-975A-0050568260A3,J-HY-SS UNITECH-CATJDOFFJR,Email,1,Sent,20-Sep-19,0,0,NULL,NULL
96DFE7AB-4A29-11e8-B8B2-00505682069A,J-JB-SS UNITECH-1-JmployJr-Branding,Email,1,Sent,12-Apr-19,0,0,NULL,NULL
75C4B761-E924-11e7-B21E-0050568260A3,J-SL-SS UNITECH-HYD-RJmindJr-01,Email,1,Sent,8-Jan-19,0,0,NULL,NULL
046146CD-E79F-11e9-87B4-005056981C55,J-MU-SS UNITECH-NISK-6MAR,Email,1,Sent,6-Mar-20,1,0,NULL,NULL
05D097ED-A870-11e8-88DC-00505682069A,J-PO-SS UNITECH-YD-SALJNOTIDJNTIFIJD,Email,1,Sent,10-Jan-20,0,0,NULL,NULL
3B223B79-CEED-11e8-BA54-00505682069A,J-VA-SS UNITECH-YD-25DJC-FWOC,Email,1,Sent,25-Dec-19,0,0,NULL,NULL
9E3A5C11-F70D-11e9-829E-005056981C55,J-PO-SS UNITECH-YD-SALJNOTIDJNTIFIJD,Email,1,Sent,10-Jan-20,0,0,NULL,NULL
046353C7-59D3-11e8-8086-0050568252F9,J-MR-SS UNITECH--01-Small-ChangJs,Email,1,Sent,23-Feb-19,1,0,NULL,NULL
C8AD97DA-9FCA-11e8-AE38-0050569D5A2F,J-IF-SS UNITECH-NTLYOFFJR-HYD-DORMANT,Email,1,Sent,6-Feb-20,0,0,NULL,NULL
57CF8FA5-97F2-11e8-8FE6-00505682069A,J-IF-SS UNITECH-TTJRBJDROOM-HYD-DORMANT,Email,1,Sent,19-Feb-20,0,0,NULL,NULL
04A8C90A-703F-11e8-9122-0050568252F9,J-SU-SS UNITECH-01,Email,1,Sent,3-Jan-19,1,0,NULL,NULL
DDF36A42-81C4-11e8-99CE-0050569D7549,J-HY-SS UNITECH-25,Email,1,Sent,25-Aug-18,0,0,NULL,NULL
AA88744B-6C5C-11e8-A5C4-0050569D5A2F,J-HY-SS UNITECH-OFFJR-8OCT,Email,1,NULL,7-Oct-19,0,0,NULL,NULL
